"","alpha_1","alpha_2","beta_1","beta_2","mu","sigma","gamma","step","time"
"17938",33.0565988710118,31.4937608499402,0.00205435376531633,4.69034746707989,407.778871269179,0.00262505781450853,0.397425639722796,60,30498.708
"17939",39.0463262117991,12.3711199153918,0.000560391470758708,3.46317067696293,308.783761399507,0.00348026960930431,0.264268445099418,60,30498.708
"17940",37.2285667244884,0.852171833651013,0.00178371783042406,0.825634434276548,338.316898139196,0.00119577310494843,0.243380885401274,60,30498.708
"17941",38.0474034425832,37.4664995618696,0.00262553605615397,4.52101506293899,323.997681029653,0.00270852642460367,0.292229836879059,60,30498.708
"17942",35.6253251969803,41.1452190103984,0.00273182932443833,1.86368283666704,364.568637171938,0.00334997014349899,0.28172848753204,60,30498.708
"17943",33.4292413155269,25.5068751562683,0.00426248495581649,4.12647579972171,400.233373649976,0.00203545167038067,0.331804411478378,60,30498.708
"17944",38.0323018430744,19.8206592245465,0.00339374867938464,1.36493797858635,323.978327903138,0.00414761094915027,0.299427150704515,60,30498.708
"17945",38.0323018430744,19.8206592245465,0.00339374867938464,1.36493797858635,323.978327903138,0.00414761094915027,0.299427150704515,60,30498.708
"17946",37.5517236957581,30.9626865380318,0.00217775736016031,2.63745850380873,332.487535207357,0.00292992513714072,0.337517049975729,60,30498.708
"17947",41.6815883580083,6.68468202066076,0.00351140728969621,4.43510038835763,262.50992125486,0.000684106177712046,0.201212669113221,60,30498.708
"17948",41.6815883580083,6.68468202066076,0.00351140728969621,4.43510038835763,262.50992125486,0.000684106177712046,0.201212669113221,60,30498.708
"17949",41.6815883580083,6.68468202066076,0.00351140728969621,4.43510038835763,262.50992125486,0.000684106177712046,0.201212669113221,60,30498.708
"17950",35.6741508786664,25.260784768849,0.00281653533500233,3.65779156696121,363.551555871292,0.00332130753375038,0.26710402467534,60,30498.708
"17951",39.9411727206389,27.7944602215293,0.00154206068713683,2.56866237937538,293.136111591516,0.0053658834737187,0.347208219891329,60,30498.708
"17952",40.8113200628516,24.3062057663157,0.00304756972352062,2.63905408416371,277.578083454439,0.000809804651406481,0.220797962388733,60,30498.708
"17953",34.4839156427817,28.346643540124,0.00153683166543632,3.21793879311048,384.380205622492,0.00182747219121355,0.263195109829779,60,30498.708
"17954",34.6201320187206,41.3534361231601,0.00315804167177697,4.22202813723536,380.910126574724,0.00205081450243981,0.322575993328912,60,30498.708
"17955",34.6201320187206,41.3534361231601,0.00315804167177697,4.22202813723536,380.910126574724,0.00205081450243981,0.322575993328912,60,30498.708
"17956",36.3215565551154,27.6455207353789,0.000154978763598196,3.8345387327172,354.451585492941,0.00159481723760659,0.310103627566979,60,30498.708
"17957",37.8947915133339,20.5887070142161,0.00310896830041552,4.11276168128249,326.214883350564,0.0030428578296084,0.32525480429217,60,30498.708
"17958",37.8947915133339,20.5887070142161,0.00310896830041552,4.11276168128249,326.214883350564,0.0030428578296084,0.32525480429217,60,30498.708
"17959",33.9477577889606,17.6612919634609,0.00273727060493652,1.15198504786169,392.784997884542,0.00215646416878052,0.269822814140933,60,30498.708
"17960",35.4988082439687,29.85072851046,0.0043148976469764,3.06657772925771,365.727802788413,0.00310945206549929,0.257760344540583,60,30498.708
"17961",33.9477577889606,17.6612919634609,0.00273727060493652,1.15198504786169,392.784997884542,0.00215646416878052,0.269822814140933,60,30498.708
"17962",34.2667350806594,27.1469271380317,0.0013847900770465,0.9471644005702,388.126836391785,8.92571470586688e-06,0.19187963847183,60,30498.708
"17963",34.2667350806594,27.1469271380317,0.0013847900770465,0.9471644005702,388.126836391785,8.92571470586688e-06,0.19187963847183,60,30498.708
"17964",34.2667350806594,27.1469271380317,0.0013847900770465,0.9471644005702,388.126836391785,8.92571470586688e-06,0.19187963847183,60,30498.708
"17965",34.2667350806594,27.1469271380317,0.0013847900770465,0.9471644005702,388.126836391785,8.92571470586688e-06,0.19187963847183,60,30498.708
"17966",32.1780342697976,49.8935077912446,0.0019325124433102,3.90474490669389,422.677274888699,0.00346176890962785,0.325631471573837,60,30498.708
