"","A","B","g","k","step","time"
"18501",3.06132687200475,0.442152956010666,0.185255017537232,1.84547761070449,38,114.524999999994
"18502",3.05965571711377,0.551700767120865,0.192127046064845,1.57208436279609,38,114.524999999994
"18503",3.07887344400041,0.40958818617429,0.321706762541809,1.74970198407244,38,114.524999999994
"18504",3.15082335437765,0.50120029754297,0.156086973270001,1.68091779465159,38,114.524999999994
"18505",3.06660510459788,0.339445315304453,0.308714610592964,1.89017467044003,38,114.524999999994
"18506",3.20902509773976,0.634883270659948,0.0466219482640666,1.54046106700113,38,114.524999999994
"18507",3.14485300498087,0.557823519295759,0.0322028213589985,1.58879620674259,38,114.524999999994
"18508",3.14485300498087,0.557823519295759,0.0322028213589985,1.58879620674259,38,114.524999999994
"18509",3.12348160011401,0.417563509753354,0.329488195273164,1.77211888904315,38,114.524999999994
"18510",3.27780187317569,0.594663417868373,0.167883558660594,1.55096925427561,38,114.524999999994
"18511",3.15597463492561,0.483592599506804,0.0335229878379592,1.68718239947419,38,114.524999999994
"18512",3.13947526613352,0.456968906898049,0.0815984600160685,1.78940731412833,38,114.524999999994
"18513",3.20480953737373,0.405334659248203,0.223251451934237,1.88701978399348,38,114.524999999994
"18514",3.316108240374,0.559379480976646,0.00696521336026562,1.60774362653201,38,114.524999999994
"18515",3.09680352996221,0.544001192621934,0.143179942625935,1.60495016261554,38,114.524999999994
"18516",3.13597081755801,0.431647983229272,0.219139121395792,1.75324601333525,38,114.524999999994
"18517",3.19767283719745,0.471869905055992,0.0647681689999112,1.79969626244827,38,114.524999999994
"18518",3.21582570662632,0.339511088304578,0.231650975515722,1.96383655607128,38,114.524999999994
"18519",3.17233763680051,0.43280118258719,0.177370563499778,1.76900745019247,38,114.524999999994
"18520",3.14615049960034,0.583642755532434,0.222266003617977,1.62408538411224,38,114.524999999994
"18521",3.15857551438168,0.328784170265206,0.327268266539655,1.90381461243236,38,114.524999999994
"18522",3.3063318790628,0.381539736345919,0.389454212504396,1.82188696611983,38,114.524999999994
"18523",3.15124600638446,0.384388912017353,0.195723893952771,1.83437926481277,38,114.524999999994
"18524",3.1078100359689,0.419706954388957,0.0806110144217428,1.84995993233481,38,114.524999999994
"18525",3.03381875767319,0.48226542086435,0.431784305405482,1.71825418200846,38,114.524999999994
"18526",3.17862636491301,0.368911903648084,0.214318219264605,1.77475172685227,38,114.524999999994
"18527",3.2328914898465,0.478017841763028,0.205176389826094,1.83080447265334,38,114.524999999994
"18528",3.21883251813526,0.456808713042379,0.132180080921073,1.68261553538951,38,114.524999999994
"18529",3.0938000327483,0.533513622587758,0.173621879546801,1.65806141652447,38,114.524999999994
"18530",3.11716327895394,0.462483977015078,0.139794736244173,1.65810591447363,38,114.524999999994
"18531",3.2587001023199,0.533214782541463,0.35808191725069,1.61558559235977,38,114.524999999994
"18532",3.11677249138453,0.306527474088677,0.229979125849614,1.90075642054528,38,114.524999999994
"18533",3.14046181481172,0.483960208147776,0.267293959359502,1.71920753858468,38,114.524999999994
"18534",3.01857587202528,0.450227020970266,0.091875875016608,1.76393947992507,38,114.524999999994
"18535",3.02963136777982,0.553333438846977,0.261230718173611,1.6752471914455,38,114.524999999994
"18536",3.22273295949456,0.399646713612589,0.0868222698935883,1.76656534757782,38,114.524999999994
"18537",3.11688712042427,0.37917951656128,0.128591042368668,1.91007604764016,38,114.524999999994
